PlantingID,WeeksAfterTransplant,Kilos,Year,Brix
2013-03-12_Perla_VAP_V02_11_0.08,19,80.0,2013,5.0
2013-03-12_Shiren_VAP_V02_10_0.86,10,192.0,2013,6.8
2013-03-12_Shiren_VAP_V02_10_0.86,11,400.0,2013,7.5
2013-03-12_Shiren_VAP_V02_10_0.86,12,912.0,2013,6.85
2013-03-12_Shiren_VAP_V02_10_0.86,13,480.0,2013,6.9
2013-03-12_Shiren_VAP_V02_10_0.86,14,1760.0,2013,7.433333333333334
2013-03-12_Shiren_VAP_V02_10_0.86,15,6448.0,2013,6.5
2013-03-12_Shiren_VAP_V02_10_0.86,16,9328.0,2013,6.5
2013-03-12_Shiren_VAP_V02_10_0.86,17,11376.0,2013,6.666666666666667
2013-03-12_Shiren_VAP_V02_10_0.86,18,7120.0,2013,6.5
2013-03-12_Shiren_VAP_V02_10_0.86,19,7824.0,2013,6.3999999999999995
2013-03-12_Sweet Treats_VAP_V02_11_0.02,14,96.0,2013,6.388595970498291
2013-03-12_Sweet Treats_VAP_V02_11_0.02,16,32.0,2013,7.0
2013-03-12_Sweet Treats_VAP_V02_11_0.02,19,160.0,2013,5.2
2013-03-12_Sweet Treats_VAP_V02_11_0.06,10,32.0,2013,7.0
2013-03-12_Sweet Treats_VAP_V02_11_0.06,11,32.0,2013,7.3
2013-03-12_Sweet Treats_VAP_V02_11_0.06,12,64.0,2013,7.25
2013-03-12_Sweet Treats_VAP_V02_11_0.06,13,48.0,2013,6.5
2013-03-12_Sweet Treats_VAP_V02_11_0.06,14,64.0,2013,8.2
2013-03-12_Sweet Treats_VAP_V02_11_0.06,15,160.0,2013,6.5
2013-03-12_Sweet Treats_VAP_V02_11_0.06,16,368.0,2013,6.85
2013-03-12_Sweet Treats_VAP_V02_11_0.06,17,256.0,2013,7.15
2013-03-12_Sweet Treats_VAP_V02_11_0.06,18,240.0,2013,6.0
2013-03-12_Sweet Treats_VAP_V02_11_0.06,19,192.0,2013,5.2
2013-03-12_Sweet Treats_VAP_V02_11_0.06,20,64.0,2013,5.0
2013-03-13_Amsterdam_VAP_V02_2_0.62,10,416.0,2013,7.5
2013-03-13_Amsterdam_VAP_V02_2_0.62,14,1120.0,2013,8.5
2013-03-13_Amsterdam_VAP_V02_2_0.62,16,1408.0,2013,7.1
2013-03-13_Amsterdam_VAP_V02_2_0.62,18,2480.0,2013,7.1
2013-03-13_Amsterdam_VAP_V02_2_0.62,19,2672.0,2013,7.0
2013-03-13_Amsterdam_VAP_V02_2_0.62,20,2016.0,2013,6.3
2013-03-13_Amsterdam_VAP_V02_3_0.17,11,144.0,2013,9.0
2013-03-13_Amsterdam_VAP_V02_3_0.17,12,112.0,2013,6.5
2013-03-13_Amsterdam_VAP_V02_3_0.17,13,272.0,2013,8.6
2013-03-13_Amsterdam_VAP_V02_3_0.17,14,1024.0,2013,7.8
2013-03-13_Amsterdam_VAP_V02_3_0.17,15,1904.0,2013,6.933333333333334
2013-03-13_Amsterdam_VAP_V02_3_0.17,16,2352.0,2013,7.0
2013-03-13_Amsterdam_VAP_V02_3_0.17,17,2720.0,2013,7.1
2013-03-13_Amsterdam_VAP_V02_3_0.17,18,2688.0,2013,5.9
2013-03-13_Amsterdam_VAP_V02_3_0.17,19,2448.0,2013,6.3
2013-03-13_Amsterdam_VAP_V02_3_0.22,10,48.0,2013,7.5
2013-03-13_Amsterdam_VAP_V02_3_0.22,11,160.0,2013,6.5
2013-03-13_Amsterdam_VAP_V02_3_0.22,12,208.0,2013,8.5
2013-03-13_Amsterdam_VAP_V02_3_0.22,18,976.0,2013,7.3
2013-03-13_Amsterdam_VAP_V02_3_0.22,19,2656.0,2013,6.8
2013-03-13_Amsterdam_VAP_V02_3_0.22,20,1904.0,2013,5.6
2013-03-13_Olivia_VAP_V02_9_0.82,11,288.0,2013,9.0
2013-03-13_Olivia_VAP_V02_9_0.82,12,736.0,2013,8.6
2013-03-13_Olivia_VAP_V02_9_0.82,13,320.0,2013,8.2
2013-03-13_Olivia_VAP_V02_9_0.82,14,208.0,2013,7.5
2013-03-13_Olivia_VAP_V02_9_0.82,15,1104.0,2013,7.0
2013-03-13_Olivia_VAP_V02_9_0.82,16,1712.0,2013,7.0
2013-03-13_Olivia_VAP_V02_9_0.82,17,2480.0,2013,6.1
2013-03-13_Olivia_VAP_V02_9_0.82,18,7408.0,2013,7.199999999999999
2013-03-13_Olivia_VAP_V02_9_0.82,19,15616.0,2013,6.8
2013-03-13_Pera Roja_VAP_V02_6_0.05,11,64.0,2013,6.388595970498291
2013-03-13_Pera Roja_VAP_V02_6_0.05,12,112.0,2013,6.85
2013-03-13_Pera Roja_VAP_V02_6_0.05,13,64.0,2013,6.2
2013-03-13_Pera Roja_VAP_V02_6_0.05,14,224.0,2013,6.5
2013-03-13_Pera Roja_VAP_V02_6_0.05,15,144.0,2013,6.8
2013-03-13_Pera Roja_VAP_V02_6_0.05,16,352.0,2013,7.1
2013-03-13_Pera Roja_VAP_V02_6_0.05,18,720.0,2013,6.8
2013-03-13_Pera Roja_VAP_V02_6_0.05,19,672.0,2013,6.0
2013-03-13_Pera Roja_VAP_V02_6_0.23,10,48.0,2013,7.5
2013-03-13_Pera Roja_VAP_V02_6_0.23,13,192.0,2013,7.2
2013-03-13_Pera Roja_VAP_V02_6_0.23,14,208.0,2013,6.5
2013-03-13_Pera Roja_VAP_V02_6_0.23,15,208.0,2013,6.2
2013-03-13_Pera Roja_VAP_V02_6_0.23,16,448.0,2013,7.0
2013-03-13_Pera Roja_VAP_V02_6_0.23,17,896.0,2013,6.300000000000001
2013-03-13_Pera Roja_VAP_V02_6_0.23,20,512.0,2013,8.3
2013-03-16_Amsterdam_VAP_V02_29_0.6,11,112.0,2013,7.0
2013-03-16_Amsterdam_VAP_V02_29_0.6,12,384.0,2013,8.1
2013-03-16_Amsterdam_VAP_V02_29_0.6,13,368.0,2013,8.4
2013-03-16_Amsterdam_VAP_V02_29_0.6,14,800.0,2013,7.35
2013-03-16_Amsterdam_VAP_V02_29_0.6,15,1760.0,2013,6.833333333333333
2013-03-16_Amsterdam_VAP_V02_29_0.6,16,3824.0,2013,7.2
2013-03-16_Amsterdam_VAP_V02_29_0.6,17,3072.0,2013,7.7
2013-03-16_Amsterdam_VAP_V02_29_0.6,18,7200.0,2013,6.566666666666666
2013-03-16_Amsterdam_VAP_V02_29_0.6,19,7872.0,2013,6.800000000000001
2013-03-16_Amsterdam_VAP_V02_29_0.6,20,3408.0,2013,7.0
2013-03-16_Amsterdam_VAP_V02_2_0.19,11,608.0,2013,7.9
2013-03-16_Amsterdam_VAP_V02_2_0.19,12,592.0,2013,7.85
2013-03-16_Amsterdam_VAP_V02_2_0.19,13,368.0,2013,7.2
2013-03-16_Amsterdam_VAP_V02_2_0.19,14,720.0,2013,7.2
2013-03-16_Amsterdam_VAP_V02_2_0.19,15,2416.0,2013,6.8
